Rk,Player,PlayerID,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
1,Patrick van Aanholt,Patrick-van-Aanholt,NED,DF,Crystal Palace,28,1990,29,29,2507,3,2,1,1,0,0,0.11,0.07,0.18,0.07,0.14,2.4,1.6,3.2,0.08,0.11,0.2,0.06,0.17,2019/2020
2,Max Aarons,Max-Aarons,ENG,DF,Norwich City,19,2000,36,36,3240,0,1,0,0,7,0,0,0.03,0.03,0,0.03,0.5,0.5,3.4,0.01,0.09,0.11,0.01,0.11,2019/2020
3,Tammy Abraham,Tammy-Abraham,ENG,FW,Chelsea,21,1997,34,25,2215,15,3,0,0,2,0,0.61,0.12,0.73,0.61,0.73,14.1,14.1,2.5,0.57,0.1,0.67,0.57,0.67,2019/2020
4,Che Adams,Che-Adams,ENG,FW,Southampton,23,1996,30,12,1111,4,2,0,0,0,0,0.32,0.16,0.49,0.32,0.49,4,4,1.2,0.32,0.1,0.42,0.32,0.42,2019/2020
5,Adrián,Adrian,ESP,GK,Liverpool,32,1987,11,9,875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
6,Sergio Agüero,Sergio-Aguero,ARG,FW,Manchester City,31,1988,24,18,1452,16,3,2,3,1,0,0.99,0.19,1.18,0.87,1.05,14,11.8,2.4,0.87,0.15,1.02,0.73,0.88,2019/2020
7,Albian Ajeti,Albian-Ajeti,SUI,MFFW,West Ham,22,1997,9,0,139,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.07,0.03,0.11,0.07,0.11,2019/2020
8,Nathan Aké,Nathan-Ake,NED,DF,Bournemouth,24,1995,29,29,2503,2,2,0,0,2,0,0.07,0.07,0.14,0.07,0.14,2.4,2.4,0.6,0.09,0.02,0.11,0.09,0.11,2019/2020
9,Marc Albrighton,Marc-Albrighton,ENG,MFDF,Leicester City,29,1989,20,9,867,0,3,0,0,2,0,0,0.31,0.31,0,0.31,0.6,0.6,2,0.06,0.2,0.27,0.06,0.27,2019/2020
10,Toby Alderweireld,Toby-Alderweireld,BEL,DF,Tottenham,30,1989,33,33,2957,2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,1.1,1.1,1.1,0.03,0.03,0.07,0.03,0.07,2019/2020
11,Trent Alexander-Arnold,Trent-Alexander-Arnold,ENG,DF,Liverpool,20,1998,38,35,3175,4,13,0,0,5,0,0.11,0.37,0.48,0.11,0.48,2.8,2.8,9.9,0.08,0.28,0.36,0.08,0.36,2019/2020
12,Alisson,Alisson,BRA,GK,Liverpool,26,1992,29,29,2543,0,1,0,0,0,1,0,0.04,0.04,0,0.04,0,0,0.5,0,0.02,0.02,0,0.02,2019/2020
13,Dele Alli,Dele-Alli,ENG,MFFW,Tottenham,23,1996,25,21,1847,8,4,1,1,2,0,0.39,0.19,0.58,0.34,0.54,7.1,6.3,2,0.35,0.1,0.44,0.31,0.4,2019/2020
14,Miguel Almirón,Miguel-Almiron,PAR,MFFW,Newcastle Utd,25,1994,36,35,3021,4,2,0,0,5,0,0.12,0.06,0.18,0.12,0.18,6.3,6.3,1.6,0.19,0.05,0.24,0.19,0.24,2019/2020
15,Marcos Alonso,Marcos-Alonso,ESP,DF,Chelsea,28,1990,18,15,1430,4,2,0,0,4,0,0.25,0.13,0.38,0.25,0.38,2,2,2.2,0.13,0.14,0.26,0.13,0.26,2019/2020
16,Steven Alzate,Steven-Alzate,COL,MFDF,Brighton,20,1998,19,12,1188,0,0,0,0,1,0,0,0,0,0,0,1.2,1.2,0.7,0.09,0.05,0.14,0.09,0.14,2019/2020
17,Ibrahim Amadou,Ibrahim-Amadou,FRA,DFMF,Norwich City,26,1993,11,8,759,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.11,0,0.12,0.11,0.12,2019/2020
