Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Season
Adrián,ESP,GK,Liverpool,34,1987,2,2,180,2,9,4.5,16,7,0.438,0,1,1,0,0,0,0,0,0,2020/2021
Alisson,BRA,GK,Liverpool,28,1992,14,14,1260,14,12,0.86,38,28,0.737,8,5,1,4,28.6,5,2,1,2,2020/2021
Alphonse Areola,FRA,GK,Fulham,27,1993,14,14,1260,14,21,1.5,69,53,0.768,2,5,7,3,21.4,5,5,0,0,2020/2021
Kepa Arrizabalaga,ESP,GK,Chelsea,26,1994,3,3,270,3,6,2,14,8,0.571,1,1,1,0,0,0,0,0,0,2020/2021
Willy Caballero,ARG,GK,Chelsea,39,1981,1,1,90,1,3,3,3,0,0,0,1,0,0,0,0,0,0,0,2020/2021
Karl Darlow,ENG,GK,Newcastle Utd,30,1990,16,16,1440,16,26,1.62,82,58,0.695,5,4,7,3,18.8,2,1,1,0,2020/2021
Ederson,BRA,GK,Manchester City,27,1993,14,14,1260,14,12,0.86,32,24,0.75,7,5,2,7,50,4,4,0,0,2020/2021
Łukasz Fabiański,POL,GK,West Ham,35,1985,16,16,1440,16,21,1.31,65,46,0.708,6,5,5,5,31.3,5,2,2,1,2020/2021
Fraser Forster,ENG,GK,Southampton,32,1988,1,1,90,1,0,0,1,1,1,1,0,0,1,100,0,0,0,0,2020/2021
David de Gea,ESP,GK,Manchester Utd,30,1990,14,14,1215,13.5,21,1.56,44,28,0.614,8,3,3,4,28.6,4,4,0,0,2020/2021
Vicente Guaita,ESP,GK,Crystal Palace,34,1987,17,17,1530,17,29,1.71,76,48,0.658,6,4,7,2,11.8,4,3,1,0,2020/2021
Dean Henderson,ENG,GK,Manchester Utd,23,1997,3,2,225,2.5,3,1.2,14,11,0.786,2,0,0,0,0,0,0,0,0,2020/2021
Sam Johnstone,ENG,GK,West Brom,27,1993,17,17,1530,17,39,2.29,105,73,0.667,1,5,11,2,11.8,5,4,1,0,2020/2021
Caoimhin Kelleher,IRL,GK,Liverpool,22,1998,1,1,90,1,0,0,3,3,1,1,0,0,1,100,0,0,0,0,2020/2021
Bernd Leno,GER,GK,Arsenal,28,1992,17,17,1530,17,19,1.12,57,41,0.667,7,2,8,5,29.4,1,0,1,0,2020/2021
Hugo Lloris,FRA,GK,Tottenham,34,1986,16,16,1440,16,15,0.94,62,53,0.823,8,5,3,6,37.5,4,4,0,0,2020/2021
Emiliano Martínez,ARG,GK,Aston Villa,28,1992,15,15,1350,15,16,1.07,66,49,0.773,8,2,5,8,53.3,2,1,1,0,2020/2021
Alex McCarthy,ENG,GK,Southampton,31,1989,16,16,1440,16,19,1.19,63,45,0.73,7,5,4,7,43.8,2,2,0,0,2020/2021
Edouard Mendy,SEN,GK,Chelsea,28,1992,13,13,1170,13,12,0.92,33,23,0.697,6,3,4,6,46.2,2,2,0,0,2020/2021
Illan Meslier,FRA,GK,Leeds United,20,2000,17,17,1530,17,33,1.94,90,63,0.7,7,2,8,6,35.3,6,6,0,0,2020/2021
Robin Olsen,SWE,GK,Everton,31,1990,2,2,180,2,2,1,5,4,0.8,1,0,1,1,50,1,1,0,0,2020/2021
Rui Patrício,POR,GK,Wolves,32,1988,17,17,1530,17,24,1.41,52,34,0.615,6,4,7,4,23.5,5,4,1,0,2020/2021
Bailey Peacock-Farrell,NIR,GK,Burnley,24,1996,1,1,90,1,5,5,7,2,0.286,0,0,1,0,0,0,0,0,0,2020/2021
Jordan Pickford,ENG,GK,Everton,26,1994,14,14,1260,14,18,1.29,58,40,0.707,8,2,4,3,21.4,2,1,0,1,2020/2021
Nick Pope,ENG,GK,Burnley,28,1992,14,14,1260,14,15,1.07,62,50,0.806,4,4,6,6,42.9,3,3,0,0,2020/2021
Aaron Ramsdale,ENG,GK,Sheffield Utd,22,1998,17,17,1530,17,29,1.71,89,59,0.674,0,2,15,0,0,1,0,0,1,2020/2021
Darren Randolph,IRL,GK,West Ham,33,1987,1,1,90,1,0,0,2,2,1,1,0,0,1,100,0,0,0,0,2020/2021
Marek Rodák,SVK,GK,Fulham,24,1996,1,1,90,1,3,3,5,2,0.4,0,0,1,0,0,0,0,0,0,2020/2021
Mathew Ryan,AUS,GK,Brighton,28,1992,11,11,990,11,19,1.73,30,16,0.5,2,4,5,2,18.2,4,4,0,0,2020/2021
Robert Sánchez,ESP,GK,Brighton,23,1997,6,6,540,6,9,1.5,19,13,0.632,0,4,2,1,16.7,2,2,0,0,2020/2021
Kasper Schmeichel,DEN,GK,Leicester City,34,1986,17,17,1530,17,21,1.24,69,48,0.71,10,2,5,5,29.4,1,1,0,0,2020/2021
Zack Steffen,USA,GK,Manchester City,25,1995,1,1,90,1,1,1,2,1,0.5,1,0,0,0,0,0,0,0,0,2020/2021
