Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Average Distance of Shot,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
Patrick van Aanholt,NED,DF,Crystal Palace,30,1990,9.2,0,12,5,41.7,1.3,0.54,0,0,19.5,3,0,0,0.7,0.7,0.06,-0.7,-0.7,2020/2021
Tammy Abraham,ENG,FW,Chelsea,23,1997,8.7,6,27,11,40.7,3.11,1.27,0.22,0.55,10,0,0,0,5.1,5.1,0.19,0.9,0.9,2020/2021
Che Adams,ENG,FW,Southampton,24,1996,15,4,28,14,50,1.87,0.94,0.14,0.29,13.7,0,0,0,3.5,3.5,0.13,0.5,0.5,2020/2021
Sergio Agüero,ARG,FW,Manchester City,32,1988,1.6,0,4,1,25,2.52,0.63,0,0,8.4,0,0,0,0.6,0.6,0.16,-0.6,-0.6,2020/2021
Ola Aina,NGA,DF,Fulham,24,1996,12,1,5,1,20,0.42,0.08,0.2,1,27,0,0,0,0.3,0.3,0.07,0.7,0.7,2020/2021
Rayan Aït Nouri,FRA,DF,Wolves,19,2001,5.9,1,7,3,42.9,1.19,0.51,0.14,0.33,18.8,0,0,0,0.3,0.3,0.04,0.7,0.7,2020/2021
Semi Ajayi,NGA,DF,West Brom,27,1993,16,1,4,1,25,0.25,0.06,0.25,1,10,0,0,0,0.3,0.3,0.08,0.7,0.7,2020/2021
Nathan Aké,NED,DF,Manchester City,25,1995,5.2,1,1,1,100,0.19,0.19,1,1,7,0,0,0,0.1,0.1,0.07,0.9,0.9,2020/2021
Marc Albrighton,ENG,DFFW,Leicester City,31,1989,7.8,0,7,2,28.6,0.9,0.26,0,0,20.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,2020/2021
Toby Alderweireld,BEL,DF,Tottenham,31,1989,10.9,1,5,2,40,0.46,0.18,0.2,0.5,7.9,0,0,0,0.3,0.3,0.07,0.7,0.7,2020/2021
Trent Alexander-Arnold,ENG,DF,Liverpool,22,1998,13.5,0,20,3,15,1.48,0.22,0,0,27.1,8,0,0,1,1,0.05,-1,-1,2020/2021
Ezgjan Alioski,MKD,DFMF,Leeds United,28,1992,10.8,2,13,5,38.5,1.2,0.46,0.15,0.4,19,0,0,0,0.9,0.9,0.07,1.1,1.1,2020/2021
Allan,BRA,MF,Everton,30,1991,11.4,0,4,1,25,0.35,0.09,0,0,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020/2021
Dele Alli,ENG,MFFW,Tottenham,24,1996,0.9,0,2,1,50,2.34,1.17,0,0,10.7,0,0,0,0.2,0.2,0.09,-0.2,-0.2,2020/2021
Miguel Almirón,PAR,MFFW,Newcastle Utd,26,1994,9.4,1,10,5,50,1.07,0.53,0.1,0.2,17.3,0,0,0,1,1,0.1,0,0,2020/2021
Steven Alzate,COL,MF,Brighton,22,1998,5.8,0,3,1,33.3,0.52,0.17,0,0,17.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,2020/2021
Michail Antonio,ENG,FW,West Ham,30,1990,6.4,3,20,10,50,3.15,1.57,0.15,0.3,14.2,0,0,0,2.8,2.8,0.14,0.2,0.2,2020/2021
Stuart Armstrong,SCO,MF,Southampton,28,1992,12.5,2,16,3,18.8,1.28,0.24,0.13,0.67,19.8,0,0,0,1,1,0.06,1,1,2020/2021
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,31,1989,15,3,30,12,40,2.01,0.8,0.07,0.17,14.4,0,1,1,4.5,3.7,0.12,-1.5,-1.7,2020/2021
Serge Aurier,CIV,DF,Tottenham,28,1992,7.7,1,6,3,50,0.78,0.39,0.17,0.33,20,0,0,0,0.7,0.7,0.11,0.3,0.3,2020/2021
Jordan Ayew,GHA,FWMF,Crystal Palace,29,1991,8.4,1,10,6,60,1.19,0.71,0.1,0.17,14.5,0,0,0,1.2,1.2,0.12,-0.2,-0.2,2020/2021
Luke Ayling,ENG,DF,Leeds United,29,1991,16.8,0,12,3,25,0.72,0.18,0,0,18.1,0,0,0,0.6,0.6,0.05,-0.6,-0.6,2020/2021
César Azpilicueta,ESP,DF,Chelsea,31,1989,6.6,0,3,2,66.7,0.46,0.3,0,0,17.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,2020/2021
Fabián Balbuena,PAR,DF,West Ham,29,1991,12,1,7,2,28.6,0.58,0.17,0.14,0.5,9.1,0,0,0,0.6,0.6,0.09,0.4,0.4,2020/2021
George Baldock,ENG,DF,Sheffield Utd,27,1993,16,0,10,2,20,0.62,0.12,0,0,16.5,0,0,0,1,1,0.1,-1,-1,2020/2021
Gareth Bale,WAL,FW,Tottenham,31,1989,1.8,1,7,2,28.6,3.89,1.11,0.14,0.5,17.4,2,0,0,0.6,0.6,0.09,0.4,0.4,2020/2021
Patrick Bamford,ENG,FW,Leeds United,27,1993,16.2,10,64,26,40.6,3.96,1.61,0.14,0.35,12.9,0,1,1,11.1,10.3,0.16,-1.1,-1.3,2020/2021
Ross Barkley,ENG,MF,Chelsea,27,1993,0.5,0,1,1,100,2.14,2.14,0,0,28,0,0,0,0,0,0.03,0,0,2020/2021
Ross Barkley,ENG,MF,Aston Villa,27,1993,5,2,17,5,29.4,3.37,0.99,0.12,0.4,19,1,0,0,1.5,1.5,0.09,0.5,0.5,2020/2021
Ashley Barnes,ENG,FW,Burnley,31,1989,8.7,1,22,8,36.4,2.53,0.92,0.05,0.13,16.3,0,0,0,2.1,2.1,0.09,-1.1,-1.1,2020/2021
Harvey Barnes,ENG,FWMF,Leicester City,23,1997,13.2,5,34,16,47.1,2.57,1.21,0.15,0.31,16.8,0,0,0,3.5,3.5,0.1,1.5,1.5,2020/2021
Kyle Bartley,ENG,DF,West Brom,29,1991,8.3,1,6,3,50,0.72,0.36,0.17,0.33,6.6,0,0,0,1.1,1.1,0.18,-0.1,-0.1,2020/2021
Michy Batshuayi,BEL,FW,Crystal Palace,27,1993,4.8,0,7,3,42.9,1.47,0.63,0,0,17.7,0,0,0,0.6,0.6,0.09,-0.6,-0.6,2020/2021
Jan Bednarek,POL,DF,Southampton,24,1996,16,1,5,3,60,0.31,0.19,0.2,0.33,6.7,0,0,0,0.6,0.6,0.12,0.4,0.4,2020/2021
Donny van de Beek,NED,MFFW,Manchester Utd,23,1997,2.9,1,1,1,100,0.35,0.35,1,1,9.8,0,0,0,0.3,0.3,0.26,0.7,0.7,2020/2021
Héctor Bellerín,ESP,DF,Arsenal,25,1995,14.2,0,5,2,40,0.35,0.14,0,0,20.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,2020/2021
Saïd Benrahma,ALG,MFFW,West Ham,25,1995,4.4,0,13,4,30.8,2.95,0.91,0,0,19.1,1,0,0,0.7,0.7,0.06,-0.7,-0.7,2020/2021
Christian Benteke,BEL,FW,Crystal Palace,30,1990,6,3,23,9,39.1,3.83,1.5,0.13,0.33,9.2,0,0,0,2.9,2.9,0.13,0.1,0.1,2020/2021
Jóhann Berg Guðmundsson,ISL,MF,Burnley,30,1990,2.7,0,4,2,50,1.5,0.75,0,0,23.6,1,0,0,0.4,0.4,0.11,-0.4,-0.4,2020/2021
Sander Berge,NOR,MF,Sheffield Utd,22,1998,11.3,1,9,1,11.1,0.8,0.09,0,0,17.8,0,1,1,1.2,0.5,0.05,-0.2,-0.5,2020/2021
Steven Bergwijn,NED,FWMF,Tottenham,23,1997,7.6,0,9,1,11.1,1.19,0.13,0,0,15.5,0,0,0,1.5,1.5,0.17,-1.5,-1.5,2020/2021
Bernard,BRA,FWMF,Everton,28,1992,3,1,4,2,50,1.31,0.66,0.25,0.5,18.3,0,0,0,0.2,0.2,0.04,0.8,0.8,2020/2021
Ryan Bertrand,ENG,DF,Southampton,31,1989,15.9,0,4,1,25,0.25,0.06,0,0,21.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,2020/2021
Yves Bissouma,MLI,MF,Brighton,24,1996,15.3,1,19,2,10.5,1.24,0.13,0.05,0.5,25.1,1,0,0,0.5,0.5,0.03,0.5,0.5,2020/2021
Jayden Bogle,ENG,DFMF,Sheffield Utd,20,2000,1.4,1,2,2,100,1.42,1.42,0.5,0.5,10.8,0,0,0,0.2,0.2,0.1,0.8,0.8,2020/2021
Jarrod Bowen,ENG,FWMF,West Ham,24,1996,14.3,4,34,6,17.6,2.37,0.42,0.12,0.67,17.5,0,0,0,3.3,3.3,0.1,0.7,0.7,2020/2021
Robbie Brady,IRL,MF,Burnley,28,1992,6.8,1,7,4,57.1,1.04,0.59,0.14,0.25,20.4,2,0,0,0.4,0.4,0.05,0.6,0.6,2020/2021
Rhian Brewster,ENG,FW,Sheffield Utd,20,2000,6.7,0,9,3,33.3,1.35,0.45,0,0,16.2,1,0,0,1.1,1.1,0.13,-1.1,-1.1,2020/2021
Josh Brownhill,ENG,MF,Burnley,25,1995,14,0,14,1,7.1,1,0.07,0,0,20.5,4,0,0,0.7,0.7,0.05,-0.7,-0.7,2020/2021
Joe Bryan,ENG,DFFW,Fulham,27,1993,3.8,0,3,1,33.3,0.79,0.26,0,0,24.7,1,0,0,0.1,0.1,0.03,-0.1,-0.1,2020/2021
Oliver Burke,SCO,FW,Sheffield Utd,23,1997,6.8,0,9,3,33.3,1.32,0.44,0,0,13.1,0,0,0,1.2,1.2,0.14,-1.2,-1.2,2020/2021
Tom Cairney,SCO,MF,Fulham,29,1991,8.4,1,12,4,33.3,1.42,0.47,0.08,0.25,20,0,0,0,0.7,0.7,0.06,0.3,0.3,2020/2021
Dominic Calvert-Lewin,ENG,FW,Everton,23,1997,15.6,11,44,24,54.5,2.82,1.54,0.25,0.46,11.7,0,0,0,8.3,8.3,0.19,2.7,2.7,2020/2021
João Cancelo,POR,DFMF,Manchester City,26,1994,11,0,9,2,22.2,0.82,0.18,0,0,23.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3,2020/2021
Ian Carlo Poveda,ENG,MFDF,Leeds United,20,2000,2.6,0,5,3,60,1.9,1.14,0,0,17.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,2020/2021
Andy Carroll,ENG,FW,Newcastle Utd,32,1989,2.4,1,9,1,11.1,3.77,0.42,0.11,1,14.6,0,0,0,0.6,0.6,0.07,0.4,0.4,2020/2021
Matty Cash,ENG,DF,Aston Villa,23,1997,13.6,0,5,1,20,0.37,0.07,0,0,20.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,2020/2021
Timothy Castagne,BEL,DF,Leicester City,25,1995,8.7,1,2,2,100,0.23,0.23,0.5,0.5,7.2,0,0,0,0.3,0.3,0.14,0.7,0.7,2020/2021
Ivan Cavaleiro,POR,FW,Fulham,27,1993,10.8,1,18,8,44.4,1.67,0.74,0,0,19.4,0,1,2,2.5,1.8,0.1,-1.5,-1.8,2020/2021
Edinson Cavani,URU,FW,Manchester Utd,33,1987,3.4,3,13,5,38.5,3.87,1.49,0.23,0.6,9.9,0,0,0,2.4,2.4,0.19,0.6,0.6,2020/2021
Ben Chilwell,ENG,DF,Chelsea,24,1996,13,2,11,6,54.5,0.85,0.46,0.18,0.33,12.9,0,0,0,1,1,0.09,1,1,2020/2021
Ciaran Clark,IRL,DF,Newcastle Utd,31,1989,8,1,5,2,40,0.62,0.25,0.2,0.5,11.3,0,0,0,0.2,0.2,0.04,0.8,0.8,2020/2021
Nathaniel Clyne,ENG,DF,Crystal Palace,29,1991,8.8,0,2,1,50,0.23,0.11,0,0,23.6,0,0,0,0,0,0.02,0,0,2020/2021
Séamus Coleman,IRL,DF,Everton,32,1988,6.3,0,3,3,100,0.47,0.47,0,0,22.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,2020/2021
Aaron Connolly,IRL,FW,Brighton,20,2000,6.5,2,14,6,42.9,2.17,0.93,0.14,0.33,13.1,0,0,0,2.1,2.1,0.15,-0.1,-0.1,2020/2021
Liam Cooper,SCO,DF,Leeds United,29,1991,10.8,1,6,2,33.3,0.56,0.19,0.17,0.5,8.4,0,0,0,0.4,0.4,0.07,0.6,0.6,2020/2021
Hélder Costa,POR,MF,Leeds United,26,1994,7.5,2,9,4,44.4,1.19,0.53,0.22,0.5,14.7,0,0,0,1,1,0.11,1,1,2020/2021
Vladimír Coufal,CZE,DF,West Ham,28,1992,12.9,0,4,1,25,0.31,0.08,0,0,16.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,2020/2021
Aaron Cresswell,ENG,DF,West Ham,31,1989,17,0,10,3,30,0.59,0.18,0,0,23.7,5,0,0,0.5,0.5,0.05,-0.5,-0.5,2020/2021
Stuart Dallas,NIR,DFMF,Leeds United,29,1991,16.9,3,20,8,40,1.18,0.47,0.15,0.38,20.8,0,0,0,1.9,1.9,0.1,1.1,1.1,2020/2021
Scott Dann,ENG,DF,Crystal Palace,33,1987,8,1,5,2,40,0.62,0.25,0.2,0.5,9.2,0,0,0,0.3,0.3,0.07,0.7,0.7,2020/2021
Kevin De Bruyne,BEL,MF,Manchester City,29,1991,13.2,3,47,13,27.7,3.56,0.98,0.02,0.08,21.1,8,2,3,7,4.7,0.1,-4,-3.7,2020/2021
Leander Dendoncker,BEL,MF,Wolves,25,1995,10.5,0,15,6,40,1.43,0.57,0,0,13.6,0,0,0,2,2,0.13,-2,-2,2020/2021
Grady Diangana,ENG,MFFW,West Brom,22,1998,11.9,1,12,5,41.7,1.01,0.42,0.08,0.2,16.1,0,0,0,1,1,0.08,0,0,2020/2021
Raphael Dias Belloli,BRA,MF,Leeds United,24,1996,9.3,2,30,11,36.7,3.23,1.19,0.07,0.18,17.8,1,0,0,2.3,2.3,0.08,-0.3,-0.3,2020/2021
Rúben Dias,POR,DF,Manchester City,23,1997,12.8,0,7,3,42.9,0.55,0.23,0,0,7.8,0,0,0,0.8,0.8,0.12,-0.8,-0.8,2020/2021
Eric Dier,ENG,DF,Tottenham,26,1994,15,0,8,2,25,0.53,0.13,0,0,22.9,5,0,0,0.4,0.4,0.05,-0.4,-0.4,2020/2021
Virgil van Dijk,NED,DF,Liverpool,29,1991,4.1,1,4,2,50,0.97,0.49,0.25,0.5,13.5,0,0,0,0.3,0.3,0.08,0.7,0.7,2020/2021
Moussa Djenepo,MLI,MF,Southampton,22,1998,7.7,1,9,2,22.2,1.16,0.26,0.11,0.5,20.2,0,0,0,0.5,0.5,0.05,0.5,0.5,2020/2021
Matt Doherty,IRL,DF,Tottenham,28,1992,7.8,0,1,1,100,0.13,0.13,0,0,5.8,0,0,0,0.3,0.3,0.34,-0.3,-0.3,2020/2021
Gabriel Dos Santos,BRA,DF,Arsenal,23,1997,11.7,2,10,3,30,0.86,0.26,0.2,0.67,11,0,0,0,0.7,0.7,0.07,1.3,1.3,2020/2021
Abdoulaye Doucouré,FRA,MF,Everton,28,1993,15.1,1,13,4,30.8,0.86,0.27,0.08,0.25,17.9,0,0,0,1.4,1.4,0.11,-0.4,-0.4,2020/2021
Lewis Dunk,ENG,DF,Brighton,29,1991,14,2,13,4,30.8,0.93,0.29,0.15,0.5,11.9,1,0,0,1.6,1.6,0.13,0.4,0.4,2020/2021
Jimmy Dunne,IRL,DF,Burnley,23,1997,2,1,3,1,33.3,1.5,0.5,0.33,1,8.4,0,0,0,0.3,0.3,0.09,0.7,0.7,2020/2021
Kyle Edwards,ENG,MFFW,West Brom,22,1998,1.3,0,2,1,50,1.53,0.76,0,0,15.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2020/2021
Eberechi Eze,ENG,MF,Crystal Palace,22,1998,10.7,2,16,7,43.8,1.5,0.65,0.13,0.29,20.3,2,0,0,1,1,0.07,1,1,2020/2021
