Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
1,Patrick van Aanholt,NED,DF,Crystal Palace,30,1990,10,9,829,0,1,0,0,1,0,0,0.11,0.11,0,0.11,0.7,0.7,0.7,0.08,0.07,0.15,0.08,0.15,2020/2021
2,Tammy Abraham,ENG,FW,Chelsea,23,1997,14,8,782,6,1,0,0,0,0,0.69,0.12,0.81,0.69,0.81,5.1,5.1,0.9,0.58,0.1,0.68,0.58,0.68,2020/2021
3,Che Adams,ENG,FW,Southampton,24,1996,15,15,1289,4,4,0,0,1,0,0.28,0.28,0.56,0.28,0.56,3.3,3.3,3.9,0.23,0.27,0.5,0.23,0.5,2020/2021
4,Tosin Adarabioyo,ENG,DF,Fulham,23,1997,11,11,990,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.1,0.04,0.01,0.06,0.04,0.06,2020/2021
5,Adrián,ESP,GK,Liverpool,33,1987,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
6,Sergio Agüero,ARG,FW,Manchester City,32,1988,4,2,138,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.6,0.44,0.37,0.8,0.44,0.8,2020/2021
7,Ola Aina,NGA,DF,Fulham,24,1996,12,12,1080,1,0,0,0,0,0,0.08,0,0.08,0.08,0.08,0.3,0.3,0.3,0.03,0.03,0.05,0.03,0.05,2020/2021
8,Rayan Aït Nouri,FRA,DF,Wolves,19,2001,6,4,350,1,0,0,0,0,0,0.26,0,0.26,0.26,0.26,0.2,0.2,0.4,0.06,0.09,0.15,0.06,0.15,2020/2021
9,Semi Ajayi,NGA,DF,West Brom,27,1993,14,14,1260,1,0,0,0,2,0,0.07,0,0.07,0.07,0.07,0.3,0.3,0,0.02,0,0.02,0.02,0.02,2020/2021
10,Nathan Aké,NED,DF,Manchester City,25,1995,6,5,470,1,0,0,0,3,0,0.19,0,0.19,0.19,0.19,0.1,0.1,0,0.01,0,0.02,0.01,0.02,2020/2021
11,Marc Albrighton,ENG,DFFW,Leicester City,31,1989,10,6,613,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,1.1,0.07,0.17,0.24,0.07,0.24,2020/2021
12,Thiago Alcántara,ESP,MF,Liverpool,29,1991,2,1,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.03,0.14,0.17,0.03,0.17,2020/2021
13,Toby Alderweireld,BEL,DF,Tottenham,31,1989,10,10,890,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.02,0.02,0.04,0.02,0.04,2020/2021
