Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,1,17,17,1530,17,19,1.12,57,41,0.667,7,2,8,5,29.4,1,0,1,0
Aston Villa,1,15,15,1350,15,16,1.07,66,49,0.773,8,2,5,8,53.3,2,1,1,0
Brighton,2,17,17,1530,17,28,1.65,49,29,0.551,2,8,7,3,17.6,6,6,0,0
Burnley,2,15,15,1350,15,20,1.33,69,52,0.754,4,4,7,6,40,3,3,0,0
Chelsea,3,17,17,1530,17,21,1.24,50,31,0.62,7,5,5,6,35.3,2,2,0,0
Crystal Palace,1,17,17,1530,17,29,1.71,76,48,0.658,6,4,7,2,11.8,4,3,1,0
Everton,2,16,16,1440,16,20,1.25,63,44,0.714,9,2,5,4,25,3,2,0,1
Fulham,2,15,15,1350,15,24,1.6,74,55,0.743,2,5,8,3,20,5,5,0,0
Leeds United,1,17,17,1530,17,33,1.94,90,63,0.7,7,2,8,6,35.3,6,6,0,0
Leicester City,1,17,17,1530,17,21,1.24,69,48,0.71,10,2,5,5,29.4,1,1,0,0
Liverpool,3,17,17,1530,17,21,1.24,57,38,0.667,9,6,2,5,29.4,5,2,1,2
Manchester City,2,15,15,1350,15,13,0.87,34,25,0.735,8,5,2,7,46.7,4,4,0,0
Manchester Utd,2,16,16,1440,16,24,1.5,58,39,0.655,10,3,3,4,25,4,4,0,0
Newcastle Utd,1,16,16,1440,16,26,1.62,82,58,0.695,5,4,7,3,18.8,2,1,1,0
Sheffield Utd,1,17,17,1530,17,29,1.71,89,59,0.674,0,2,15,0,0,1,0,0,1
Southampton,2,17,17,1530,17,19,1.12,64,46,0.734,8,5,4,8,47.1,2,2,0,0
Tottenham,1,16,16,1440,16,15,0.94,62,53,0.823,8,5,3,6,37.5,4,4,0,0
West Brom,1,17,17,1530,17,39,2.29,105,73,0.667,1,5,11,2,11.8,5,4,1,0
West Ham,2,17,17,1530,17,21,1.24,67,48,0.716,7,5,5,6,35.3,5,2,2,1
Wolves,1,17,17,1530,17,24,1.41,52,34,0.615,6,4,7,4,23.5,5,4,1,0
