Squad,Number of Players,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Average Distance of Shot,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
Arsenal,25,17,20,191,64,33.5,11.24,3.76,0.09,0.27,16.2,13,3,3,22.2,19.9,0.11,-2.2,-2.9,2020/2021
Aston Villa,19,15,28,238,82,34.5,15.87,5.47,0.11,0.3,15.9,7,3,4,27.3,24.3,0.11,0.7,0.7,2020/2021
Brighton,23,17,20,207,53,25.6,12.18,3.12,0.07,0.28,16.4,3,5,6,23.6,19.0,0.1,-3.6,-4.0,2020/2021
Burnley,21,15,8,139,46,33.1,9.27,3.07,0.06,0.17,16.5,8,0,0,13.2,13.2,0.1,-5.2,-5.2,2020/2021
Chelsea,27,17,31,232,83,35.8,13.65,4.88,0.12,0.34,16.2,8,3,5,28.3,24.5,0.11,2.7,3.5,2020/2021
Crystal Palace,21,17,20,166,63,38.0,9.76,3.71,0.11,0.29,16.3,9,2,2,16.2,14.8,0.09,3.8,3.2,2020/2021
Everton,25,16,25,174,72,41.4,10.87,4.5,0.13,0.32,16.4,5,2,2,21.0,19.5,0.12,4.0,3.5,2020/2021
Fulham,24,15,12,169,50,29.6,11.27,3.33,0.06,0.2,18.0,5,2,5,16.6,13.6,0.08,-4.6,-3.6,2020/2021
Leeds United,20,17,29,259,91,35.1,15.24,5.35,0.1,0.29,16.3,4,3,3,29.3,27.0,0.11,-0.3,-1.0,2020/2021
Leicester City,24,17,28,187,60,32.1,11.0,3.53,0.11,0.33,18.5,9,8,10,25.2,17.6,0.1,2.8,2.4,2020/2021
Liverpool,26,17,35,256,93,36.3,15.06,5.47,0.12,0.32,16.4,10,5,5,33.1,29.5,0.12,1.9,0.5,2020/2021
Manchester City,23,15,24,231,79,34.2,15.4,5.27,0.1,0.28,17.1,11,2,3,25.5,23.2,0.1,-1.5,-1.2,2020/2021
Manchester Utd,24,16,32,224,85,37.9,14.0,5.31,0.12,0.32,17.6,6,5,6,27.2,22.6,0.11,4.8,4.4,2020/2021
Newcastle Utd,24,16,17,137,46,33.6,8.56,2.87,0.09,0.28,17.9,8,4,4,15.0,12.0,0.09,2.0,1.0,2020/2021
Sheffield Utd,24,17,8,140,41,29.3,8.24,2.41,0.04,0.15,16.3,2,2,3,15.8,13.5,0.1,-7.8,-7.5,2020/2021
Southampton,22,17,26,171,69,40.4,10.06,4.06,0.14,0.35,18.0,9,2,2,16.5,15.0,0.09,9.5,9.0,2020/2021
Tottenham,22,16,29,181,72,39.8,11.31,4.5,0.14,0.36,17.0,16,3,3,22.8,20.5,0.12,6.2,5.5,2020/2021
West Brom,25,17,10,139,47,33.8,8.18,2.76,0.07,0.21,18.5,6,0,0,9.9,9.9,0.07,0.1,0.1,2020/2021
West Ham,23,17,22,200,67,33.5,11.76,3.94,0.11,0.33,14.8,6,0,0,21.6,21.6,0.11,0.4,0.4,2020/2021
Wolves,21,17,17,203,70,34.5,11.94,4.12,0.07,0.21,17.9,6,2,2,16.7,15.2,0.08,0.3,-0.2,2020/2021
