Squad,Number of Players,Age,Poss,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,G_per_90,Ast_per_90,G+A_per_90,G-PK_per_90,G+A-PK_per_90,xG,npxG,xA,xG_per_90,xA_per_90,xG+xA_per_90,npxG_per_90,npxG+xA_per_90
Arsenal,25,26.4,52.4,17,187,1530,17,20,13,3,3,28,3,1.18,0.76,1.94,1,1.76,22.2,19.9,14.2,1.31,0.83,2.14,1.17,2.01
Aston Villa,19,25.5,49.8,15,165,1350,15,28,22,3,4,31,2,1.87,1.47,3.33,1.67,3.13,27.3,24.3,19.2,1.82,1.28,3.09,1.62,2.9
Brighton,23,26.2,53.8,17,187,1530,17,20,11,5,6,26,3,1.18,0.65,1.82,0.88,1.53,23.6,19,13.8,1.39,0.81,2.2,1.12,1.93
Burnley,21,28.6,40.7,15,165,1350,15,8,4,0,0,21,0,0.53,0.27,0.8,0.53,0.8,13.2,13.2,9.3,0.88,0.62,1.5,0.88,1.5
Chelsea,27,26.4,59.3,17,187,1530,17,31,24,3,5,23,1,1.82,1.41,3.24,1.65,3.06,28.3,24.5,17.3,1.66,1.02,2.68,1.44,2.46
Crystal Palace,21,29.7,41.8,17,187,1530,17,20,14,2,2,26,2,1.18,0.82,2,1.06,1.88,16.2,14.8,10.8,0.96,0.64,1.59,0.87,1.51
Everton,25,26.9,50.1,16,176,1440,16,25,17,2,2,28,2,1.56,1.06,2.62,1.44,2.5,21,19.5,14.6,1.31,0.91,2.23,1.22,2.13
Fulham,24,26.2,47.7,15,165,1350,15,12,9,2,5,31,2,0.8,0.6,1.4,0.67,1.27,16.6,13.6,10.5,1.1,0.7,1.8,0.9,1.6
Leeds United,20,26.6,61.1,17,187,1530,17,29,20,3,3,24,0,1.71,1.18,2.88,1.53,2.71,29.3,27,19.9,1.72,1.17,2.9,1.59,2.76
Leicester City,24,27.3,54.4,17,187,1530,17,28,17,8,10,35,0,1.65,1,2.65,1.18,2.18,25.2,17.6,12,1.48,0.71,2.19,1.03,1.74
Liverpool,26,27.4,64.3,17,187,1530,17,35,21,5,5,16,0,2.06,1.24,3.29,1.76,3,33.1,29.5,21,1.95,1.24,3.19,1.73,2.97
Manchester City,23,26.6,62.9,15,165,1350,15,24,18,2,3,22,0,1.6,1.2,2.8,1.47,2.67,25.5,23.2,18.8,1.7,1.25,2.95,1.55,2.8
Manchester Utd,24,26.3,52.8,16,176,1440,16,32,23,5,6,26,1,2,1.44,3.44,1.69,3.12,27.2,22.6,18.1,1.7,1.13,2.83,1.41,2.54
Newcastle Utd,24,27.6,38.3,16,176,1440,16,17,10,4,4,29,0,1.06,0.62,1.69,0.81,1.44,15,12,9.3,0.94,0.58,1.52,0.75,1.33
Sheffield Utd,24,27,40.8,17,187,1530,17,8,5,2,3,31,2,0.47,0.29,0.76,0.35,0.65,15.8,13.5,11.7,0.93,0.69,1.62,0.8,1.48
Southampton,22,27.5,54.4,17,187,1530,17,26,18,2,2,25,0,1.53,1.06,2.59,1.41,2.47,16.5,15,11.3,0.97,0.67,1.64,0.88,1.55
Tottenham,22,27.8,47.9,16,176,1440,16,29,24,3,3,23,1,1.81,1.5,3.31,1.62,3.12,22.8,20.5,14.8,1.42,0.93,2.35,1.28,2.21
West Brom,25,26.7,38.8,17,187,1530,17,10,6,0,0,22,3,0.59,0.35,0.94,0.59,0.94,9.9,9.9,6.1,0.58,0.36,0.94,0.58,0.94
West Ham,23,28.2,41.2,17,187,1530,17,22,16,0,0,19,0,1.29,0.94,2.24,1.29,2.24,21.6,21.6,15,1.27,0.88,2.15,1.27,2.15
Wolves,21,26.9,47.7,17,187,1530,17,17,9,2,2,27,1,1,0.53,1.53,0.88,1.41,16.7,15.2,11.1,0.98,0.65,1.64,0.89,1.55
