first_name,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,position
Mesut,Özil,Arsenal,3,0.6,68,0,3424,0,0,Midfielder
Sokratis,Papastathopoulos,Arsenal,2,0.1,48,0,10261,0,0,Defender
David,Luiz Moreira Marinho,Arsenal,2,0.7,54,479,39948,1.7,9,Defender
Pierre-Emerick,Aubameyang,Arsenal,3,7.2,113,1346,513169,4.7,53,Midfielder
Cédric,Soares,Arsenal,2,0.2,46,5,4091,0.2,1,Defender
Alexandre,Lacazette,Arsenal,4,6.5,83,861,476827,7,58,Forward
Shkodran,Mustafi,Arsenal,2,0.1,50,45,12889,0.6,3,Defender
Bernd,Leno,Arsenal,1,9.4,49,1530,584239,13.7,67,Goalkeeper
Granit,Xhaka,Arsenal,3,0.4,52,994,29699,5.4,28,Midfielder
Pablo,Marí,Arsenal,2,0.3,44,270,20194,3.2,14,Defender
Héctor,Bellerín,Arsenal,2,6.1,51,1280,850964,10.4,53,Defender
Calum,Chambers,Arsenal,2,0,45,0,1506,0,0,Defender
Sead,Kolasinac,Arsenal,2,0.1,48,90,5326,0.4,2,Defender
Ainsley,Maitland-Niles,Arsenal,2,0.8,46,421,55160,4.3,20,Defender
Rob,Holding,Arsenal,2,4.5,45,1215,410034,10.2,46,Defender
Kieran,Tierney,Arsenal,2,10.2,54,1430,432034,10.9,59,Defender
Nicolas,Pépé,Arsenal,3,0.7,76,450,30731,2.9,22,Midfielder
Lucas,Torreira,Arsenal,3,0.1,47,0,3457,0,0,Midfielder
Joseph,Willock,Arsenal,3,0.1,47,233,4205,1.3,6,Midfielder
Reiss,Nelson,Arsenal,3,0,51,70,1660,0.4,2,Midfielder
Edward,Nketiah,Arsenal,4,0.5,55,307,44196,4.5,25,Forward
Emile,Smith Rowe,Arsenal,3,1.6,44,228,100125,4.1,18,Midfielder
Bukayo,Saka,Arsenal,3,10.1,53,1233,633177,10.6,56,Midfielder
Matteo,Guendouzi,Arsenal,3,0.1,47,0,2720,0,0,Midfielder
Gabriel Teodoro,Martinelli Silva,Arsenal,3,0.8,49,154,81042,1.4,7,Midfielder
William,Saliba,Arsenal,2,0.6,40,0,30909,0,0,Defender
Willian,Borges Da Silva,Arsenal,3,3,75,901,774000,5.3,40,Midfielder
Gabriel,Magalhães,Arsenal,2,5.6,50,1051,1012490,9.4,47,Defender
Daniel,Ceballos Fernández,Arsenal,3,0.9,47,947,136029,6.4,30,Midfielder
Mohamed Naser,El Sayed Elneny,Arsenal,3,1.4,44,873,247244,4.8,21,Midfielder
Matt,Macey,Arsenal,1,2,40,0,171346,0,0,Goalkeeper
Rúnar Alex,Rúnarsson,Arsenal,1,0,45,0,1996,0,0,Goalkeeper
Thomas,Partey,Arsenal,3,0.3,49,277,106376,1.4,7,Midfielder
Emiliano,Martínez,Aston Villa,1,29.9,50,1350,2556530,16.6,83,Goalkeeper
Tom,Heaton,Aston Villa,1,0.1,45,0,2531,0,0,Goalkeeper
Ahmed,El Mohamady,Aston Villa,2,0.4,43,129,23658,2.8,12,Defender
Henri,Lansbury,Aston Villa,3,0.1,43,0,6056,0,0,Midfielder
Neil,Taylor,Aston Villa,2,0.2,43,0,13920,0,0,Defender
Jed,Steer,Aston Villa,1,4.9,40,0,228935,0,0,Goalkeeper
Conor,Hourihane,Aston Villa,3,0.1,59,225,23723,3.4,20,Midfielder
José Ignacio,Peleteiro Romallo,Aston Villa,3,0,59,0,1438,0,0,Midfielder
Ørjan,Nyland,Aston Villa,1,5.5,40,0,144994,0,0,Goalkeeper
Bjorn,Engels,Aston Villa,2,0.1,44,0,11071,0,0,Defender
Jack,Grealish,Aston Villa,3,38.2,77,1350,4247894,12.6,97,Midfielder
John,McGinn,Aston Villa,3,1.4,55,1350,308667,10.2,56,Midfielder
Kortney,Hause,Aston Villa,2,0.6,44,360,58747,6.4,28,Defender
Mahmoud Ahmed,Ibrahim Hassan,Aston Villa,3,0.5,52,715,57596,4.8,25,Midfielder
Tyrone,Mings,Aston Villa,2,9.6,54,1214,1379832,11.5,62,Defender
Matt,Targett,Aston Villa,2,4.9,46,1350,524247,12.2,56,Defender
James,Bree,Aston Villa,2,0,45,0,9838,0,0,Defender
Marvelous,Nakamba,Aston Villa,3,0.8,43,104,72426,1.2,5,Midfielder
Anwar,El Ghazi,Aston Villa,3,4.3,58,478,375983,8.1,47,Midfielder
Ezri,Konsa Ngoyo,Aston Villa,2,6.2,47,1125,1035645,11.3,53,Defender
Frédéric,Guilbert,Aston Villa,2,0.1,43,0,1838,0,0,Defender
Wesley,Moraes,Aston Villa,4,0,60,0,908,0,0,Forward
Mbwana,Samatta,Aston Villa,4,0,59,0,1626,0,0,Forward
Keinan,Davis,Aston Villa,4,9,43,47,735713,0.9,4,Forward
Indiana,Vassilev,Aston Villa,4,0.7,43,0,55242,0,0,Forward
Douglas Luiz,Soares de Paulo,Aston Villa,3,0.2,49,1223,23184,6.7,33,Midfielder
Ross,Barkley,Aston Villa,3,0.8,59,494,465848,5.4,32,Midfielder
Matthew,Cash,Aston Villa,2,1.2,50,1222,120686,10.6,53,Defender
Ollie,Watkins,Aston Villa,4,8.5,61,1350,1400922,11.3,69,Forward
Bertrand,Traoré,Aston Villa,3,0.5,59,607,52106,7.8,46,Midfielder
Jacob,Ramsey,Aston Villa,3,0.1,45,123,11195,1.6,7,Midfielder
Glenn,Murray,Brighton,4,0.1,48,0,4943,0,0,Forward
Adam,Lallana,Brighton,3,0.3,62,764,14235,4.4,27,Midfielder
Pascal,Groß,Brighton,3,0.5,58,713,108432,7.4,43,Midfielder
Shane,Duffy,Brighton,2,0,43,0,629,0,0,Defender
Davy,Pröpper,Brighton,3,0,48,112,1286,0.6,3,Midfielder
Aaron,Mooy,Brighton,3,0,50,0,9986,0,0,Midfielder
Dan,Burn,Brighton,2,0.3,42,731,12623,3.1,13,Defender
Lewis,Dunk,Brighton,2,2.6,48,1260,106593,7.3,35,Defender
Martín,Montoya,Brighton,2,0,45,0,185,0,0,Defender
Florin,Andone,Brighton,4,0.1,48,0,12026,0,0,Forward
Solomon,March,Brighton,3,1.4,50,1312,265427,11.2,56,Midfielder
Adam,Webster,Brighton,2,1.6,44,1440,85827,8,35,Defender
Joël,Veltman,Brighton,2,0.4,43,859,49891,4.9,21,Defender
Neal,Maupay,Brighton,4,2.1,61,1116,661296,9.7,59,Forward
Leandro,Trossard,Brighton,3,0.7,57,1024,257181,8.8,50,Midfielder
Mathew,Ryan,Brighton,1,9.2,43,990,440456,5.8,25,Goalkeeper
Alireza,Jahanbakhsh,Brighton,3,0,54,249,1700,2.4,13,Midfielder
José,Izquierdo,Brighton,3,0,55,0,10014,0,0,Midfielder
Matthew,Clarke,Brighton,2,0,44,0,309,0,0,Defender
Ben,White,Brighton,2,1.2,44,1399,85812,7.5,33,Defender
Bernardo,Fernandes da Silva Junior,Brighton,2,7.6,39,115,296555,0.8,3,Defender
Yves,Bissouma,Brighton,3,2.5,45,1374,306711,7.3,33,Midfielder
Tariq,Lamptey,Brighton,2,5,47,887,1218397,7.4,35,Defender
Aaron,Connolly,Brighton,4,0.4,52,576,76308,5.8,30,Forward
Steven,Alzate,Brighton,3,1.1,43,520,171124,3.3,14,Midfielder
Alexis,Mac Allister,Brighton,3,0,53,127,2655,2.6,14,Midfielder
Christian,Walton,Brighton,1,1.3,40,0,42115,0,0,Goalkeeper
Jason,Steele,Brighton,1,0.8,40,0,75907,0,0,Goalkeeper
Jayson,Molumby,Brighton,3,0,45,1,2201,0.2,1,Midfielder
Andi,Zeqiri,Brighton,4,0.1,50,63,5707,0.4,2,Forward
Danny,Welbeck,Brighton,4,0.9,55,620,186378,6.5,36,Forward
Robert,Sánchez,Brighton,1,0.8,44,540,64695,3.6,16,Goalkeeper
Dale,Stephens,Burnley,3,4.8,43,229,297244,1.6,7,Midfielder
James,Tarkowski,Burnley,2,2.5,53,1170,93921,8.7,46,Defender
Phil,Bardsley,Burnley,2,0.2,45,270,11540,0.2,1,Defender
Erik,Pieters,Burnley,2,0.5,43,354,42870,4.2,18,Defender
Jack,Cork,Burnley,3,0,50,0,10345,0,0,Midfielder
Kevin,Long,Burnley,2,0.2,43,540,11033,2.6,11,Defender
Jay,Rodriguez,Burnley,4,0.2,58,553,13467,2.9,17,Forward
Ashley,Barnes,Burnley,4,0.3,60,781,24990,4.2,25,Forward
Ben,Mee,Burnley,2,1.7,49,810,138383,9.8,48,Defender
Ashley,Westwood,Burnley,3,0.6,53,1350,36375,8.7,46,Midfielder
Johann Berg,Gudmundsson,Burnley,3,0,54,239,10284,1.7,9,Midfielder
Chris,Wood,Burnley,4,1.7,62,1289,194407,7.6,47,Forward
Matthew,Lowton,Burnley,2,1.4,44,990,127128,8.9,39,Defender
Matej,Vydra,Burnley,4,0.5,48,167,76491,1.9,9,Forward
Ben,Gibson,Burnley,2,0.1,39,0,5950,0,0,Defender
Robbie,Brady,Burnley,3,0.1,50,606,8712,6,30,Midfielder
Nick,Pope,Burnley,1,10.4,54,1260,359611,13.9,75,Goalkeeper
Charlie,Taylor,Burnley,2,4.5,46,1268,588967,11.1,51,Defender
Josh,Brownhill,Burnley,3,0.1,49,1260,5742,6.7,33,Midfielder
Bailey,Peacock-Farrell,Burnley,1,1.7,40,90,74700,0,0,Goalkeeper
Dwight,McNeil,Burnley,3,0.3,57,1166,18610,6,34,Midfielder
Jimmy,Dunne,Burnley,2,4.9,39,180,842887,2.1,8,Defender
Bobby,Thomas,Burnley,2,0.8,39,0,37247,0,0,Defender
Josh,Benson,Burnley,3,0,45,251,3136,2,9,Midfielder
Anthony,Driscoll-Glennon,Burnley,2,0.1,40,0,5359,0,0,Defender
Mace,Goodridge,Burnley,3,0,45,0,1111,0,0,Midfielder
Will,Norris,Burnley,1,0.1,40,0,11890,0,0,Goalkeeper
Max,Thompson,Burnley,4,0.1,45,0,11722,0,0,Forward
Lewis,Richardson,Burnley,4,0.1,45,0,10868,0,0,Forward
Anthony,Mancini,Burnley,3,0,45,0,103,0,0,Midfielder
Joel,Mumbongo,Burnley,4,0,45,0,519,0,0,Forward
Willy,Caballero,Chelsea,1,0.2,47,90,5117,0.2,1,Goalkeeper
César,Azpilicueta,Chelsea,2,2.5,56,590,86115,4.6,26,Defender
