first_name,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,position,Player Full Name
Mesut,Özil,Arsenal,3,0.5,68,0,3437,0,0,Midfielder,Mesut Özil
Sokratis,Papastathopoulos,Arsenal,2,0.1,48,0,10265,0,0,Defender,Sokratis Papastathopoulos
David,Luiz Moreira Marinho,Arsenal,2,0.7,54,569,41590,2.6,14,Defender,David Luiz
Pierre-Emerick,Aubameyang,Arsenal,3,7,113,1436,522844,5,56,Midfielder,Pierre-Emerick Aubameyang
Cédric,Soares,Arsenal,2,0.2,46,5,4311,0.2,1,Defender,Cédric Soares
Alexandre,Lacazette,Arsenal,4,6.1,83,941,724545,7.2,60,Forward,Alexandre Lacazette
Shkodran,Mustafi,Arsenal,2,0.1,50,45,13118,0.6,3,Defender,Shkodran Mustafi
Bernd,Leno,Arsenal,1,9,50,1620,704801,14.6,73,Goalkeeper,Bernd Leno
Granit,Xhaka,Arsenal,3,0.4,52,1084,31638,6,31,Midfielder,Granit Xhaka
Pablo,Marí,Arsenal,2,0.2,44,270,30775,3.2,14,Defender,Pablo Marí
Héctor,Bellerín,Arsenal,2,5.4,51,1370,874790,12,61,Defender,Héctor Bellerín
Calum,Chambers,Arsenal,2,0,45,0,1777,0,0,Defender,Calum Chambers
Sead,Kolasinac,Arsenal,2,0.1,48,90,5328,0.4,2,Defender,Sead Kolašinac
Ainsley,Maitland-Niles,Arsenal,2,0.8,46,485,56807,5.7,26,Defender,Ainsley Maitland-Niles
Rob,Holding,Arsenal,2,4.2,45,1305,520579,11.6,52,Defender,Rob Holding
Kieran,Tierney,Arsenal,2,8.2,54,1430,657495,10.9,59,Defender,Kieran Tierney
Nicolas,Pépé,Arsenal,3,0.6,76,475,31895,3,23,Midfielder,Nicolas Pépé
Lucas,Torreira,Arsenal,3,0.1,47,0,3458,0,0,Midfielder,Lucas Torreira
Joseph,Willock,Arsenal,3,0.1,47,233,4393,1.3,6,Midfielder,Joe Willock
Reiss,Nelson,Arsenal,3,0,51,70,1779,0.4,2,Midfielder,Reiss Nelson
Edward,Nketiah,Arsenal,4,0.5,55,316,47839,4.7,26,Forward,Eddie Nketiah
Emile,Smith Rowe,Arsenal,3,2.6,45,318,254034,4.7,21,Midfielder,Emile Smith-Rowe
Bukayo,Saka,Arsenal,3,8.9,53,1323,866354,11.1,59,Midfielder,Bukayo Saka
Matteo,Guendouzi,Arsenal,3,0.1,47,0,2724,0,0,Midfielder,Matteo Guendouzi
Gabriel Teodoro,Martinelli Silva,Arsenal,3,0.4,49,154,81907,1.4,7,Midfielder,Martinelli
William,Saliba,Arsenal,2,0.6,40,0,30946,0,0,Defender,William Saliba
Willian,Borges Da Silva,Arsenal,3,2.9,75,901,775308,5.3,40,Midfielder,Willian
Gabriel,Magalhães,Arsenal,2,5.3,50,1051,1013603,9.4,47,Defender,Gabriel Dos Santos
Daniel,Ceballos Fernández,Arsenal,3,0.9,47,1015,138830,7,33,Midfielder,Dani Ceballos
Mohamed Naser,El Sayed Elneny,Arsenal,3,1.3,44,873,251925,4.8,21,Midfielder,Mohamed Elneny
Matt,Macey,Arsenal,1,1.6,40,0,171723,0,0,Goalkeeper,Matt Macey
Rúnar Alex,Rúnarsson,Arsenal,1,0,45,0,2199,0,0,Goalkeeper,Rúnar Alex Rúnarsson
Thomas,Partey,Arsenal,3,0.3,49,298,107344,1.6,8,Midfielder,Thomas Partey
Emiliano,Martínez,Aston Villa,1,30.9,51,1350,2695659,16.3,83,Goalkeeper,Emiliano Martínez
Tom,Heaton,Aston Villa,1,0.1,45,0,3054,0,0,Goalkeeper,Tom Heaton
Ahmed,El Mohamady,Aston Villa,2,0.3,43,129,24673,2.8,12,Defender,Ahmed Elmohamady
Henri,Lansbury,Aston Villa,3,0.1,43,0,6177,0,0,Midfielder,Henri Lansbury
Neil,Taylor,Aston Villa,2,0.2,42,0,14493,0,0,Defender,Neil Taylor
Jed,Steer,Aston Villa,1,4.5,40,0,238011,0,0,Goalkeeper,Jed Steer
Conor,Hourihane,Aston Villa,3,0.1,59,225,23798,3.4,20,Midfielder,Conor Hourihane
José Ignacio,Peleteiro Romallo,Aston Villa,3,0,59,0,1439,0,0,Midfielder,José Ignacio Peleteiro Romallo
Ørjan,Nyland,Aston Villa,1,5.1,40,0,145100,0,0,Goalkeeper,Ørjan Nyland
Bjorn,Engels,Aston Villa,2,0.1,44,0,11185,0,0,Defender,Bjorn Engels
Jack,Grealish,Aston Villa,3,35.7,77,1350,4369019,12.6,97,Midfielder,Jack Grealish
John,McGinn,Aston Villa,3,1.3,55,1350,315070,10.2,56,Midfielder,John McGinn
Kortney,Hause,Aston Villa,2,0.7,44,360,72908,6.4,28,Defender,Kortney Hause
Mahmoud Ahmed,Ibrahim Hassan,Aston Villa,3,0.5,52,715,57619,4.8,25,Midfielder,Trézéguet
Tyrone,Mings,Aston Villa,2,8.9,54,1214,1394427,11.5,62,Defender,Tyrone Mings
Matt,Targett,Aston Villa,2,4.7,46,1350,579669,12.2,56,Defender,Matt Targett
James,Bree,Aston Villa,2,0,45,0,9840,0,0,Defender,James Bree
Marvelous,Nakamba,Aston Villa,3,0.7,43,104,76537,1.2,5,Midfielder,Marvelous Nakamba
Anwar,El Ghazi,Aston Villa,3,4.1,58,478,447385,8.1,47,Midfielder,Anwar El Ghazi
